TS Eel(kcal/mol)
37800000 -1347879.7376
37850000 -1348184.4810
37900000 -1345348.3634
37950000 -1346510.2213
38000000 -1346592.9553
38050000 -1346205.7686
38100000 -1348128.8847
38150000 -1347895.0805
38200000 -1346642.7342
38250000 -1348060.5269
38300000 -1347835.4404
38350000 -1346250.8551
38400000 -1347585.6078
38450000 -1347487.4548
38500000 -1346095.2040
38550000 -1347665.3657
38600000 -1347429.1301
38650000 -1347184.2377
38700000 -1347698.5161
38750000 -1347336.2505
38800000 -1346992.3426
38850000 -1347164.7622
38900000 -1346449.2175
38950000 -1347094.4222
39000000 -1348788.5049
39050000 -1347766.5668
39100000 -1348172.0277
39150000 -1348038.6688
39200000 -1349347.0817
39250000 -1348096.8159
39300000 -1347536.0582
39350000 -1347968.9667
39400000 -1347888.6140
39450000 -1348458.4430
39500000 -1347162.3291
39550000 -1345975.1066
39600000 -1347557.9244
39650000 -1347564.1148
39700000 -1346942.1845
39750000 -1347163.6546
39800000 -1348686.6301
39850000 -1347834.9754
39900000 -1348568.6352
39950000 -1347605.9445
40000000 -1347996.1025
40050000 -1346914.3898
40100000 -1349102.2350
40150000 -1346381.9233
40200000 -1348246.7246
40250000 -1347528.0894
40300000 -1347269.2641
40350000 -1347230.5873
40400000 -1347532.0824
40450000 -1347263.7143
40500000 -1346556.1222
40550000 -1346998.5152
40600000 -1347919.6568
40650000 -1348906.8355
40700000 -1347965.9965
40750000 -1347901.7356
40800000 -1348579.6939
40850000 -1348850.5697
40900000 -1346317.6592
40950000 -1347590.7138
41000000 -1348295.3420
41050000 -1348009.2735
41100000 -1347733.0607
41150000 -1347960.1118
41200000 -1347080.4754
41250000 -1347647.6415
41300000 -1347893.7872
41350000 -1346650.9750
41400000 -1346323.1970
41450000 -1346153.3149
41500000 -1347305.6372
41550000 -1346748.5736
41600000 -1348550.6118
41650000 -1346367.2774
41700000 -1347184.4808
41750000 -1345710.3789
41800000 -1348118.9074
41850000 -1347375.3680
41900000 -1347315.1971
41950000 -1347854.0776
42000000 -1347216.0200
42050000 -1347174.3616
42100000 -1347912.5339
42150000 -1347098.1056
42200000 -1348456.3930
42250000 -1346973.7873
42300000 -1346625.9667
42350000 -1348358.5859
42400000 -1347763.0334
42450000 -1347503.7945
42500000 -1348189.9452
42550000 -1347186.7755
42600000 -1347809.6890
42650000 -1348408.4851
42700000 -1348158.9717
42750000 -1346649.3069
42800000 -1348303.2820
42850000 -1348794.7598
42900000 -1346391.6153
42950000 -1347054.7681
43000000 -1349051.4456
43050000 -1346999.5991
43100000 -1347255.8690
43150000 -1347471.9270
43200000 -1347682.7053
43250000 -1347728.9075
43300000 -1347850.6336
43350000 -1347023.7203
43400000 -1347302.9169
43450000 -1347635.3745
43500000 -1346302.2787
43550000 -1347880.9007
43600000 -1346432.4826
43650000 -1346965.2315
43700000 -1346643.1570
43750000 -1346672.5500
43800000 -1348602.6310
43850000 -1346948.7398
43900000 -1348510.0769
43950000 -1347757.2150
44000000 -1348406.9123
44050000 -1347928.1721
44100000 -1349098.4831
44150000 -1347482.6983
44200000 -1346425.2464
44250000 -1347392.8090
44300000 -1348216.0270
44350000 -1348038.8894
44400000 -1346526.4810
44450000 -1347247.5893
44500000 -1347762.0760
44550000 -1347223.3837
44600000 -1348355.9452
44650000 -1347891.3265
44700000 -1348027.1006
44750000 -1345601.6747
44800000 -1346993.1248
44850000 -1347162.0351
44900000 -1346878.2825
44950000 -1347043.5106
45000000 -1347539.0323
45050000 -1345926.9722
45100000 -1347309.8665
45150000 -1346792.8243
45200000 -1349032.9733
45250000 -1347807.5233
45300000 -1346933.7047
45350000 -1346742.1997
45400000 -1347761.0590
45450000 -1346032.1969
45500000 -1346582.8442
45550000 -1348488.1542
45600000 -1347040.4285
45650000 -1347292.4367
45700000 -1347111.6671
45750000 -1347744.2392
45800000 -1346755.7729
45850000 -1347436.3220
45900000 -1347283.3045
45950000 -1347434.1029
46000000 -1347477.0935
46050000 -1347508.9355
46100000 -1346960.1081
46150000 -1349849.9870
46200000 -1346910.3074
46250000 -1348356.8751
46300000 -1347166.8637
46350000 -1347362.4183
46400000 -1346627.5225
46450000 -1346510.9020
46500000 -1346819.8555
46550000 -1347360.5830
46600000 -1347404.4698
46650000 -1347935.9045
46700000 -1347903.3087
46750000 -1347461.9819
46800000 -1346136.5034
46850000 -1348293.8333
46900000 -1347508.6892
46950000 -1346968.6056
47000000 -1347287.9675
47050000 -1347353.3298
47100000 -1346740.3263
47150000 -1345153.0274
47200000 -1346100.7390
47250000 -1345843.5174
47300000 -1347711.9051
47350000 -1348537.1903
47400000 -1348963.1540
47450000 -1346988.6670
47500000 -1347192.0064
47550000 -1347798.3766
47600000 -1348095.7261
47650000 -1348775.9912
47700000 -1347574.6852
47750000 -1348177.0117
47800000 -1347599.7059
47850000 -1347310.2977
47900000 -1347817.4043
47950000 -1347151.1182
48000000 -1347361.7659
48050000 -1348597.7313
48100000 -1347560.2570
48150000 -1345584.6768
48200000 -1347651.4653
48250000 -1347237.3152
48300000 -1347444.0709
48350000 -1346555.2685
48400000 -1347248.5253
48450000 -1345569.9215
48500000 -1346644.6103
48550000 -1345957.4328
48600000 -1347880.0851
48650000 -1347462.9267
48700000 -1346672.9269
48750000 -1346973.7840
48800000 -1347177.8804
48850000 -1348073.5597
48900000 -1346080.0931
48950000 -1347560.1851
49000000 -1348278.6747
49050000 -1347441.7048
49100000 -1348159.5001
49150000 -1347507.9484
49200000 -1346786.4983
49250000 -1346617.3466
49300000 -1347555.7679
49350000 -1346726.1590
49400000 -1346902.2478
49450000 -1347741.9567
49500000 -1346671.4393
49550000 -1347131.0809
49600000 -1347027.6004
49650000 -1346041.3215
49700000 -1346455.0607
49750000 -1347604.5919
49800000 -1347928.8323
49850000 -1348019.0911
49900000 -1347639.0778
49950000 -1346995.4383
50000000 -1348556.1977
