TS	2_bonds	no_bonds	303_350
19050000	-1346965.0205	-1236525.2906	-1343974.2356
19100000	-1348161.2034	-1236981.9926	-1344106.0225
19150000	-1348820.3650	-1237759.7246	-1343357.7539
19200000	-1347495.0418	-1237475.1407	-1345095.7717
19250000	-1347868.0436	-1236380.9089	-1344588.2916
19300000	-1346647.2198	-1237341.1390	-1343610.0535
19350000	-1345439.1984	-1238034.4395	-1344431.9238
19400000	-1347723.2360	-1236552.3814	-1344696.6506
19450000	-1348045.7080	-1236809.1154	-1344029.1956
19500000	-1347353.1524	-1236597.4678	-1343306.5354
19550000	-1347988.5981	-1237632.7202	-1344959.4952
19600000	-1346272.3711	-1236467.9079	-1344492.7622
19650000	-1347668.8628	-1236618.7809	-1344839.0064
19700000	-1348600.3248	-1236502.7336	-1344333.2427
19750000	-1347394.8574	-1236195.4919	-1343852.7556
19800000	-1346312.5282	-1238082.2401	-1344434.8932
19850000	-1348176.1575	-1237053.2299	-1344968.0215
19900000	-1345983.4448	-1238021.2719	-1343302.8485
19950000	-1347161.1083	-1237372.8653	-1345521.0025
20000000	-1347740.7318	-1236443.5770	-1343869.3430
20050000	-1349484.4329	-1238351.0292	-1342345.1816
20100000	-1347853.4852	-1237576.2040	-1344804.8825
20150000	-1346139.2970	-1237282.3714	-1344271.4816
20200000	-1347494.1669	-1236609.0976	-1345388.1288
20250000	-1348483.3027	-1237981.5502	-1343843.0735
20300000	-1346724.7669	-1237202.1207	-1346485.0992
20350000	-1347623.3767	-1235544.4508	-1342859.1922
20400000	-1346445.4711	-1235928.0730	-1344396.0036
20450000	-1348107.9700	-1237478.5381	-1346020.1558
20500000	-1347571.2018	-1237155.6727	-1345058.4311
20550000	-1347035.3469	-1236196.4694	-1345050.1236
20600000	-1346588.9344	-1236104.3225	-1343751.2715
20650000	-1347994.7574	-1236129.7421	-1344196.1385
20700000	-1347149.1332	-1235865.0127	-1343326.3339
20750000	-1347905.5426	-1237271.6451	-1345283.9340
20800000	-1347560.4586	-1237061.2856	-1344519.9484
20850000	-1345944.9292	-1237575.2000	-1343594.6769
20900000	-1347577.2322	-1235791.2447	-1344853.2532
20950000	-1347433.1081	-1238125.5561	-1344631.0176
21000000	-1347548.9901	-1237405.3866	-1341733.8824
21050000	-1348089.9922	-1237321.5194	-1344727.9204
21100000	-1346756.1236	-1236815.5086	-1344499.6889
21150000	-1345913.2342	-1238010.3684	-1344508.6436
21200000	-1349108.1598	-1236773.6334	-1344335.8061
21250000	-1347722.7032	-1235772.3849	-1343558.7639
21300000	-1347715.0167	-1237619.5176	-1343753.4014
21350000	-1348231.8502	-1235037.8710	-1344648.6296
21400000	-1347189.3096	-1238030.8965	-1343444.9678
21450000	-1347156.8583	-1236081.5174	-1344807.1502
21500000	-1348801.2161	-1236506.6110	-1344039.6370
21550000	-1347852.8502	-1237793.0659	-1343684.2706
21600000	-1347866.2902	-1236035.8262	-1342870.0532
21650000	-1347828.0013	-1236485.4154	-1344308.3787
21700000	-1346247.2945	-1236158.2696	-1345174.4843
21750000	-1348582.4013	-1236637.1314	-1344103.9735
21800000	-1348191.1572	-1234865.9632	-1344711.0475
21850000	-1347727.3675	-1234856.1916	-1343548.1283
